NP_001295087.1,7039
NP_061187.2,55534
XP_005266146.2,54461
NP_006666.1,10867
NP_001123544.1,29924
XP_011530860.1,150684
XP_011533107.1,57666
XP_016866260.1,285753
XP_016861891.1,4134
XP_011512121.2,23231
XP_005260384.1,2139
NP_115709.3,84293
XP_016879344.1,90835
XP_016874180.1,10526
XP_016880524.1,79003
NP_037374.1,29105
NP_776065.1,60528
XP_011526505.1,66002
XP_011524529.1,84064
XP_016862469.1,60678
NP_115688.1,84272
XP_016880222.1,51479
NP_001284665.1,25936
NP_054857.2,29057
NP_001284693.1,10083
XP_006724409.1,85379
NP_114382.1,56114
NP_835464.1,284086
NP_001185744.1,100507679
NP_001265043.1,2515
XP_005253257.1,8567
XP_016873818.1,79832
XP_005248077.1,84448
NP_848032.1,339883
NP_001002275.1,2213
XP_016870556.1,7091
NP_001401.2,1954
NP_001092254.1,23625
XP_011523846.1,9931
XP_016873293.1,4925
XP_011512596.1,116369
XP_011535808.1,55002
NP_001129957.1,254439
XP_011514897.1,83698
XP_005252507.1,387640
NP_001123887.1,81575
NP_001180528.1,6342
XP_006724532.1,1756
NP_001295106.1,54492
XP_016863982.1,57654
NP_006517.1,7764
XP_006715657.1,892
XP_005256088.1,55512
NP_001295196.1,5799
NP_001311209.1,91966
XP_011517971.1,79741
NP_001230588.1,2745
XP_011519902.1,440275
XP_006718417.1,8525
XP_011529115.1,7216
XP_006716817.1,26267
NP_001332980.1,84851
NP_689723.1,150280
NP_004385.1,1611
NP_001128558.1,360226
XP_016882564.1,5802
XP_016866968.1,9113
XP_011541034.1,23650
NP_001030590.1,6391
XP_016869733.1,114991
NP_110437.2,81567
XP_005271965.1,153733
XP_011533856.1,221264
XP_005267442.1,161424
NP_001333519.1,3638
XP_016865831.1,202559
NP_001316622.1,221443
NP_001619.1,231
NP_067041.1,58493
NP_612808.1,64919
NP_001073609.1,653282
NP_005532.2,3635
NP_001305838.1,2976
XP_011538610.1,8505
XP_016869712.1,11064
XP_016862683.1,79750
XP_011543953.1,3581
NP_001138871.1,744
NP_001207407.1,8499
XP_016878518.1,197358
NP_001191892.1,5087
XP_016860138.1,6323
NP_954660.1,113251
NP_001334649.1,1690
NP_061737.1,56105
NP_001127880.1,2903
XP_016864072.1,729830
XP_005268236.1,8906
XP_016875058.1,55297
NP_054753.1,25842
XP_005247161.1,13
XP_016870871.1,107987001
NP_001243463.1,6576
XP_006722302.1,101060351
